"id","name","URL","comment","title_tag","link","created_at","updated_at"
"111","kcahkp","http://starmen.net/pkhack/badges/kcahkp.png",,"gnp.pkhack/segdab/kcahkp/ten.nemrats//:ptth",,"2008-07-09 11:09:34","2008-07-09 11:09:34"

"112","saturnmelee","http://starmen.net/badges/meleesaturnbadge.gif",,,,"2008-07-10 14:13:28","2008-07-10 14:13:58"

"113","foppyking","http://starmen.net/talk/badges/fk.png",,,,"2008-07-10 14:15:20","2008-07-10 14:15:20"

"114","fanvideos","http://starmen.net/fanvideos/fanvideobadge.png",,"Lights, Camera, EARTHBOUND!","http://starmen.net/fanvideos/","2008-07-10 14:18:04","2009-11-17 05:35:25"

"115","MatoBadge","http://tomato.fobby.net/junk/matofro.png",,,,"2008-07-10 17:40:50","2008-07-10 17:40:50"

"116","Sarsie Badge","http://starmen.net/forum/badges/cindy_ryan.gif","THIN D",,"http://nekozomb.fobby.net/miraculum/","2008-07-11 13:10:55","2008-07-11 13:10:55"

"117","dillo","http://ii.fobby.net/forum/dillo.png",,,,"2008-07-20 10:21:16","2009-12-12 00:45:54"

"118","Weezer","http://starmen.net/badgevatars/badges/weezer.png",,,,"2008-07-20 12:41:59","2008-07-20 12:42:11"

"119","DINO RAMPAGE!","http://plo.fobby.net/dinorampage.gif","FEATURING TRUCKOSAURUS!","DINO RAMPAGE!",,"2008-07-20 23:14:12","2008-07-20 23:15:12"

"120","Artemis","http://starmen.net/fanart/artysinat.gif","'Artemis' is 'Sinatra' backwards",,,"2008-07-21 15:39:57","2008-07-21 15:39:57"

"121","Bombermanman","http://plo.fobby.net/bombu3.gif","Bombermanman","Bombermanman",,"2008-07-24 02:51:22","2008-07-24 02:51:22"

"122","robotmafia","http://starmen.net/badgevatars/badges/bender2.png",,"Two Kingdoms Mafia: Robot Mafia wins!",,"2008-09-02 09:45:10","2008-09-02 09:45:36"

"123","mafia","http://starmen.net/badgevatars/badges/mafia.png",,"Two Kingdoms Mafia: Participant",,"2008-09-02 09:49:20","2008-09-02 09:49:20"

"124","Secondwolf","http://forum.starmen.net/forum_attachments/0005/8911/secondplace2.png","2nd place in inaugural Brawl tourney","2nd Place in the Titanic Ant Cup – Wolf vs. God, no items, 3-stock, FINAL DESTINATION",,"2008-09-14 08:11:11","2008-09-14 08:11:11"

"125","halloff08parti","http://starmen.net/badgevatars/badges/halloweenff08parti.gif",,"Halloween Funfest 08 Participant","http://starmen.net/halloween08/","2008-09-22 12:37:40","2008-10-10 09:22:52"

"126","Badges Badge","http://i77.photobucket.com/albums/j47/KatonAkerya/Pixel%20Art/badgesbadge.png","HI RANGER",,,"2008-09-24 21:10:00","2008-11-10 19:44:03"

"127","Logographer","http://starmen.net/reidman/logographer.png","Master Logographer","Master Logographer","http://forum.starmen.net/forum/Fan/Forum/New-Forum-Logos-Icons/page/1/","2008-10-06 01:27:51","2008-10-06 01:27:51"

"128","Old Mato","http://starmen.net/badgevatars/avatars/oldmato.png",,,,"2008-10-18 11:35:13","2008-10-18 11:35:13"

"129","BUG","http://starmen.net/badgevatars/avatars/bug.gif",,,,"2008-10-31 05:04:48","2008-10-31 05:04:48"

"130","Obama","http://starmen.net/badgevatars/badges/obamabadge.png",,"I lost a bet to Falc and all I got was a center-right shill",,"2008-11-05 04:24:14","2009-06-03 13:48:04"

"131","blacksesame","http://starmen.net/badges/invis.gif",,"Black Sesame Seed",,"2008-11-11 23:00:05","2008-11-11 23:00:05"

"132","Brawl Tourney 2","http://starmen.net/badgevatars/badges/smashbrosPIZZA2.png","Mondo Mole Cup","2nd Place in the Mondo Mole Cup – DARNIT LIONROCKER’S MOM WHERE IS MY PIZZA",,"2008-11-14 03:41:12","2008-11-14 03:41:12"

"133","MatoSnake","http://tomato.fobby.net/junk/csmato.png",,,,"2008-11-14 14:26:40","2008-11-14 14:26:40"

"134","Invisiguy","http://starmen.net/badgevatars/badges/invisiguy.gif","Halloween 08 Winner","Halloween Funfest 08 Winner! (Also sports a unibrow)",,"2008-11-16 18:44:29","2008-11-16 18:45:15"

"135","Wess Butt","http://starmen.net/badgevatars/badges/wessbuttwiggle.gif","For that dance contest","I embarrassed myself in public and all I got was this silly badge!",,"2008-11-19 10:06:15","2008-11-19 10:06:48"

"136","Numbers Badge","http://starmen.net/radio/images/numbers_epsilon_c.gif","this badge is stupid and needs to be changed","Numbers",,"2008-12-01 00:04:29","2010-04-13 19:40:07"

"137","holidayff08participant","http://starmen.net/badgevatars/badges/holiday08participant.png",,"Holiday Funfest 08 Participant","http://starmen.net/holiday08/index.html","2008-12-07 22:05:37","2008-12-07 22:05:37"

"138","The Unobtainable Badge","http://starmen.net/badgevatars/badges/unobtainable.gif","Don't give this badge to anybody ♥","Step back, son. You can't have this!",,"2009-01-18 11:18:04","2009-01-18 11:21:04"

"139","Holiday Funfest 08 Winner","http://starmen.net/badgevatars/badges/holiday08winrar.gif",,"Holiday Funfest 2008 Winner? I barely know 'er!","http://starmen.net/holiday08","2009-01-28 14:06:27","2009-01-28 14:07:51"

"140","Who Arted 13 Wins","http://starmen.net/radio/images/whoarted2.gif","13 Glow-in-the-Dark wins on Radio PSI's WHO ARTED?!","Who Arted 13 Wins","http://starmen.net/radio/segments/","2009-02-08 08:50:47","2010-04-12 01:01:01"

"141","Who Arted 17 Wins","http://starmen.net/radio/images/whoarted3.gif","Who Arted 17 wins Neopolitan badge!","Who Arted 17 Wins","http://starmen.net/radio/segments/","2009-02-18 14:54:42","2010-04-12 01:01:27"

"142","Writer's Badge","http://starmen.net/badgevatars/badges/miishallbadge.gif","For people who do the monthly writer's prompts on the Writing board","My Prompt was prompt! :D","http://forum.starmen.net/forum/Fan/Writing","2009-02-24 20:24:10","2009-02-24 20:24:10"

"143","EarthBound Central","http://starmen.net/zomgoldforum/badges/earthboundcentral_badge.png",,"EarthBound Central hurray!","http://earthboundcentral.com","2009-03-08 22:45:20","2009-03-08 22:45:20"

"144","Tomato Boxes Free","http://forum.starmen.net/forum_attachments/0010/9193/tb_badge1.png","Given to those that 5-stared MY GAME. (This decays on April 3rd!)","I helped ROFISH with his game! (Badge will decay April 3rd.)","http://forum.starmen.net/forum/General/Discussion/Tomato-Boxes-for-iPhone-iPod-Touch-Beta-Signups/1271997","2009-03-12 08:31:01","2009-03-12 08:31:01"

"145","Sarsie's Mario","http://sarsie.fobby.net/smb/mario.png",,"Mario Mario",,"2009-03-18 12:26:41","2009-03-18 12:26:41"

"146","Sarsie's Luigi","http://sarsie.fobby.net/smb/luigi.png",,"Luigi Mario",,"2009-03-18 12:27:13","2009-03-18 12:27:13"

"147","Sarsie's Toad","http://sarsie.fobby.net/smb/toad.png",,"Yoshi!",,"2009-03-18 12:27:48","2009-03-18 23:25:28"

"148","Sarsie's Koopa","http://sarsie.fobby.net/smb/koopa.png",,"Koopa",,"2009-03-18 12:28:21","2009-03-18 12:28:21"

"149","Sarsie's Princess Daisy","http://sarsie.fobby.net/smb/princess.png",,"Princess Daisy",,"2009-03-18 13:31:54","2009-03-18 13:31:54"

